target,trialType,givenness,block,length
cage.jpg,target,given,1A,4
sandal.jpg,target,given,1A,4
mouse.jpg,target,given,1A,4
picture.jpg,target,given,1A,4
net.jpg,target,given,1A,4
star.jpg,target,given,1A,4
candy.jpg,target,given,2A,4
tie.jpg,target,given,2A,4
pig.jpg,target,given,2A,4
turkey.jpg,target,given,2A,4
arch.jpg,target,given,2A,4
wing.jpg,target,given,2A,4
candy.jpg,target,new,1A,4
tie.jpg,target,new,1A,4
pig.jpg,target,new,1A,4
turkey.jpg,target,new,1A,4
arch.jpg,target,new,1A,4
wing.jpg,target,new,1A,4
cage.jpg,target,new,2A,4
sandal.jpg,target,new,2A,4
mouse.jpg,target,new,2A,4
picture.jpg,target,new,2A,4
net.jpg,target,new,2A,4
star.jpg,target,new,2A,4
brick.jpg,target,given,1B,4
goat.jpg,target,given,1B,4
chair.jpg,target,given,1B,4
pizza.jpg,target,given,1B,4
fish.jpg,target,given,1B,4
bacon.jpg,target,given,1B,4
beach.jpg,target,given,2B,4
camera.jpg,target,given,2B,4
bag.jpg,target,given,2B,4
dolphin.jpg,target,given,2B,4
bed.jpg,target,given,2B,4
button.jpg,target,given,2B,4
dollar.jpg,target,given,1A,3
bee.jpg,target,given,1A,3
baby.jpg,target,given,1A,3
bench.jpg,target,given,1A,3
camel.jpg,target,given,1A,3
bat.jpg,target,given,1A,3
ghost.jpg,target,given,2A,3
bridge.jpg,target,given,2A,3
peanuts.jpg,target,given,2A,3
chain.jpg,target,given,2A,3
butter.jpg,target,given,2A,3
fist.jpg,target,given,2A,3
ghost.jpg,target,new,1A,3
bridge.jpg,target,new,1A,3
peanuts.jpg,target,new,1A,3
chain.jpg,target,new,1A,3
butter.jpg,target,new,1A,3
fist.jpg,target,new,1A,3
dollar.jpg,target,new,2A,3
bee.jpg,target,new,2A,3
baby.jpg,target,new,2A,3
bench.jpg,target,new,2A,3
camel.jpg,target,new,2A,3
bat.jpg,target,new,2A,3
tire.jpg,target,given,1B,3
candle.jpg,target,given,1B,3
turtle.jpg,target,given,1B,3
pill.jpg,target,given,1B,3
witch.jpg,target,given,1B,3
neck.jpg,target,given,1B,3
sandwich.jpg,target,given,2B,3
mouth.jpg,target,given,2B,3
scar.jpg,target,given,2B,3
arm.jpg,target,given,2B,3
pickle.jpg,target,given,2B,3
cake.jpg,target,given,2B,3
beach.jpg,target,new,1B,4
camera.jpg,target,new,1B,4
bag.jpg,target,new,1B,4
dolphin.jpg,target,new,1B,4
bed.jpg,target,new,1B,4
button.jpg,target,new,1B,4
brick.jpg,target,new,2B,4
goat.jpg,target,new,2B,4
chair.jpg,target,new,2B,4
pizza.jpg,target,new,2B,4
fish.jpg,target,new,2B,4
bacon.jpg,target,new,2B,4
sandwich.jpg,target,new,1B,3
mouth.jpg,target,new,1B,3
scar.jpg,target,new,1B,3
arm.jpg,target,new,1B,3
pickle.jpg,target,new,1B,3
cake.jpg,target,new,1B,3
tire.jpg,target,new,2B,3
candle.jpg,target,new,2B,3
turtle.jpg,target,new,2B,3
pill.jpg,target,new,2B,3
witch.jpg,target,new,2B,3
neck.jpg,target,new,2B,3
rabbit.jpg,filler,new,any,any
raccoon.jpg,filler,new,any,any
piano.jpg,filler,new,any,any
bear.jpg,filler,new,any,any
lighter.jpg,filler,new,any,any
ladder.jpg,filler,new,any,any
wheel.jpg,filler,new,any,any
knee.jpg,filler,new,any,any
skunk.jpg,filler,new,any,any
rope.jpg,filler,new,any,any
cloud.jpg,filler,new,any,any
backpack.jpg,filler,new,any,any
map.jpg,filler,new,any,any
jar03.jpg,filler,new,any,any
squirrel.jpg,filler,new,any,any
marker.jpg,filler,new,any,any
lion.jpg,filler,new,any,any
saw.jpg,filler,new,any,any
apron.jpg,filler,new,any,any
cork.jpg,filler,new,any,any
fountain.jpg,filler,new,any,any
cow.jpg,filler,new,any,any
iron.jpg,filler,new,any,any
bus.jpg,filler,new,any,any
puzzle.jpg,filler,new,any,any
tent.jpg,filler,new,any,any
cigar.jpg,filler,new,any,any
penny.jpg,filler,new,any,any
bread.jpg,filler,new,any,any
scissors.jpg,filler,new,any,any
cupcake.jpg,filler,new,any,any
ball.jpg,filler,new,any,any
radio.jpg,filler,new,any,any
stairs.jpg,filler,new,any,any
sweater.jpg,filler,new,any,any
drum.jpg,filler,new,any,any
beans.jpg,filler,new,any,any
clover.jpg,filler,new,any,any
tape.jpg,filler,new,any,any
nest.jpg,filler,new,any,any
balloon.jpg,filler,new,any,any
rice.jpg,filler,new,any,any
mug.jpg,filler,new,any,any
nail.jpg,filler,new,any,any
glass.jpg,filler,new,any,any
plate.jpg,filler,new,any,any
tomato.jpg,filler,new,any,any
globe.jpg,filler,new,any,any
